painting,emotion
ion-theodorescu-sion_baigneuse-1927,sadness
frank-auerbach_tree-at-tretire,disgust
george-frederick-watts_edith-villiers-later-countess-of-lytton-1862(1),contentment
frantisek-kupka_lipstick-1908,amusement
joseph-wright_mrs-sarah-clayton,amusement
ion-pacea_marina-1,contentment
gustave-dore_don-quixote-57,fear
peter-paul-rubens_adoration-of-the-magi-1629,awe
roy-lichtenstein_still-life-after-picasso-1964,amusement
michel-simonidy_nude,awe
nicholas-roerich_himalayas-59,awe
sam-francis_untitled-1953-1,fear
le-pho_the-tea,contentment
claude-monet_argenteuil(1),contentment
gustave-courbet_still-life-of-flowers-1863,sadness
peter-paul-rubens_christ-at-simon-the-pharisee-1620,disgust
taro-yamamoto_untitled-1961,excitement
ilya-mashkov_game-fish-pickles-still-life-with-pheasant-1916,contentment
childe-hassam_thunderstorm-on-the-oregon-trail,contentment
wu-guanzhong_confucian-forest,awe
william-h.-johnson_folk-family-1944,contentment
leon-bakst_le-dieu-bleu-nijinsky-in-title-role-1911,fear
johannes-vermeer_allegory-on-faith,awe
ivan-bilibin_red-rider-illustration-for-the-fairy-tale-vasilisa-the-beautiful-1899,awe
henri-fantin-latour_chrysanthemums-1879,contentment
nicholas-roerich_koksar-1932,excitement
jack-bush_dark-country-1946,fear
guido-reni_david-with-the-head-of-goliath,disgust
konstantin-korovin_set-design-for-the-ballet-ts-puni-humpbacked-horse-1914,contentment
nicholas-roerich_himalayas-morning-1941,contentment
frans-snyders_grapes-peaches-and-quinces-in-a-niche,contentment
mikhail-vrubel_hamlet-and-ophelia-1884,fear
j.-e.-h.-macdonald_after-sunset-georgian-bay-1931,fear
gustave-dore_zechariah,awe
childe-hassam_rocky-beach-appledore,excitement
jacek-malczewski_the-tribute-money-triptych-right,awe
isaac-van-ostade_cutting-pork-carcass,sadness
ilka-gedo_domed-rose-garden-1972,awe
mstislav-dobuzhinsky_old-city-in-kaunas-1930,contentment
georges-braque_the-studio-v-1949,amusement
henri-matisse_zorah-on-the-terrace-1912,contentment
mary-fedden_lilies-and-lemons-2007,contentment
raoul-dufy_storm-at-sainte-adresse-1909,amusement
salvador-dali_sponsabo-te-mihi-in-sempiternum-song-of-songs-2-12-1967,disgust
ernst-ludwig-kirchner_view-into-a-cafe,fear
joseph-wright_self-portrait-1,contentment
william-h.-johnson_killed-in-action-1942(1),amusement
camille-pissarro_the-factory-1873,sadness
ilka-gedo_spring-1973,awe
henri-matisse_nude-6,amusement
giovanni-boldini_portrait-of-francesco-boldini,sadness
fyodor-bronnikov_the-monk-and-the-beggar-1902,sadness
henryk-siemiradzki_entrance-of-christ-into-jerusalem,contentment
guido-reni_the-archangel-michael-defeating-satan-1635,contentment
nicholas-roerich_himalayas-67,awe
jules-cheret_le-punch-de-grassot-1890,excitement
jacques-stella_louis-ii-de-bourbon-duc-d-enghien,awe
childe-hassam_isles-of-shoals-garden-aka-the-garden-in-its-glory,contentment
henri-fantin-latour_flowers-poppies-1883,contentment
nicholas-roerich_himalayan-landscape,contentment
le-pho_lecture-lesson,contentment
nicholas-roerich_himalayas-1,contentment
natalia-goncharova_design-for-final-backcloth,awe
childe-hassam_back-of-the-old-house,contentment
william-hogarth_the-graham-children-1742,amusement
nicholas-roerich_everest-1938-1,contentment
george-frederick-watts_the-portrait-of-violinist-wilma-neruda-a-k-a-lady-hall,contentment
henri-matisse_not-identified-22,sadness
georges-braque_the-terrace-1948,excitement
nicholas-roerich_ledenets-1919,disgust
irma-stern_banana-carrier-1946,sadness
jacek-malczewski_self-portrait,sadness
hercules-seghers_landscape-with-armed-men-1635,contentment
gustave-dore_the-lost-cow-1852,awe
leon-bakst_fantasy-on-modern-costume-1910,fear
ion-nicodim_woman-portrait,anger
claude-monet_cliffs-near-dieppe,contentment
victor-pasmore_sun-and-sky-1979,amusement
jules-cheret_hippodrome-leona-dare-1883,excitement
gustave-dore_christ-presented-to-the-people,awe
umberto-boccioni_dynamism-of-racing-horse-1913,contentment
childe-hassam_the-hourse-of-actaeon-montauk,contentment
henri-matisse_yellow-odalisque-1926,disgust
mikalojus-ciurlionis_aquarius-1907,sadness
salvador-dali_landscape-of-cadaques,contentment
gustave-courbet_poachers-in-the-snow-1867,sadness
gheorghe-tattarescu_ion-gr-di-teanu,contentment
nicholas-roerich_ancient-serpent-serpent-of-wisdom-1924,fear
helene-schjerfbeck_picking-bluebells,contentment
maurice-prendergast_st-malo-no-2,excitement
henry-raeburn_john-johnstone-betty-johnstone-and-miss-wedderburn,sadness
childe-hassam_the-ash-blond,awe
niko-pirosmani_religious-holiday-in-kartli-central-georgia,fear
jan-steen_merry-family-1668,amusement
maurice-denis_the-muses-1893,contentment
willem-de-kooning_untitled-1950-1,fear
koloman-moser_meadow,amusement
stanley-pinker_a-self-portrait-as-a-cactus-in-search-of-a-new-muse,fear
ronnie-landfield_untitled-1969(3),amusement
georgios-jakobides_platter-with-seashells-roses-pearls-and-earrings-1920,contentment
otto-gustav-carlsund_katakombbruden-1934,amusement
henri-matisse_young-woman-playing-violin-1923,contentment
gustave-dore_satan-in-council,fear
william-scott_message-obscure-i-1965,disgust
jack-bush_white-buildings-1947,contentment
nicholas-roerich_himalayas-1943,contentment
camille-pissarro_the-street-of-hermitage-pontoise-1874,contentment
le-pho_flower-composition,contentment
frantisek-kupka_head-of-slut-1909,fear
josefa-de-obidos_calv-rio-1679,sadness
william-hogarth_david-garrick-as-richard-iii-1745,excitement
ilya-mashkov_vegetables,excitement
mario-zanini_paisagem-1960,contentment
maurice-prendergast_campo-santa-maria-formosa-venice-1912,contentment
henri-matisse_the-piano-lesson-1916,fear
henri-fantin-latour_the-flowers-of-middle-summer-1890,contentment
peter-paul-rubens_descent-from-the-cross-1617,sadness
childe-hassam_woman-reading,contentment
claude-monet_boats-on-the-beach-at-etretat,contentment
ivan-bilibin_poster-of-international-exhibition-in-kazan-1909,fear
henryk-siemiradzki_man-in-profile,fear
sam-francis_untitled-from-pasadena-box-1963-2,amusement
vasile-dobrian_look-how-the-moon-steps-on-the-white-lonely-hills-from-the-autumn-series,disgust
giovanni-boldini_conversation-at-the-cafe,amusement
childe-hassam_clarissa,excitement
helene-schjerfbeck_the-convalescent-1888,contentment
lawren-harris_pine-tree-and-red-house-winter-city-1924,contentment
childe-hassam_the-sonata-1,contentment
henri-fantin-latour_petunias-1881,contentment
gustave-dore_the-christian-martyrs,fear
george-bouzianis_still-life-with-fruit-1930,anger
gustave-courbet_entering-the-forest,contentment
esteban-vicente_paisaje-con-sombrilla-roja-1931,contentment
niko-pirosmani_razzle-dazzle-during-the-grape-harvest-1906(1),amusement
martiros-saryan_under-the-trees-1904,fear
mikhail-nesterov_ilya-muromets-1887,fear
george-bouzianis_portrait-6(1),fear
niko-pirosmani_lion-and-sun,awe
henri-fantin-latour_mixed-flowers-1887,awe
childe-hassam_elms-east-hampton-new-york,contentment
koloman-moser_poster-of-five-art-exhibition-of-the-association-of-austrian-artists-of-secession-1899,excitement
willem-de-kooning_woman-red-hair-large-mouth-large-foot,amusement
nicholas-roerich_hidden-treasure-1917,fear
william-hogarth_william-cavendish-marquess-of-hartington-later-4th-duke-of-devonshire-1741,contentment
nicholas-roerich_city-1907-1,amusement
peter-paul-rubens_apotheosis-of-henry-iv-and-the-proclamation-of-the-regency-of-marie-de-medici-1624,excitement
roger-de-la-fresnaye_the-conquest-of-the-air-1913,awe
georges-braque_still-life-with-stairs-1943,disgust
claude-monet_charing-cross-bridge-fog-on-the-themes,contentment
nicholas-roerich_china-s-heroics-1937,awe
jacob-jordaens_mercury-and-argos-1620,amusement
childe-hassam_summer-evening-paris,awe
kazuo-nakamura_three-plants,contentment
kay-nielsen_tell-me-the-way-then,sadness
eugene-boudin_laundresses-on-the-banks-of-the-touques-11,sadness
janos-tornyai_wheatland-with-woman-of-shawl-1912,awe
stuart-davis_owh-in-san-pao-1951,excitement
isaac-van-ostade_a-barn-interior-with-a-slaughtered-pig-children-playing-beyond,contentment
childe-hassam_the-mantle-piece,contentment
victor-brauner_dobrudjan-landscape-1937,awe
richard-tuttle_two-with-any-2-1-1999,awe
gustave-dore_don-quixote-46,disgust
jean-baptiste-simeon-chardin_the-butler-s-table-1756,contentment
gustave-dore_don-quixote-26,fear
koloman-moser_backhausen-interior-texiles-1899-1,amusement
childe-hassam_view-of-the-thames,contentment
raoul-dufy_yacht-club-1931,contentment
nicholas-roerich_kangchenjunga-1944,contentment
mario-nuzzi_mirror-decorated-with-putti-flowers-and-acanthus-scrolls,amusement
nicholas-roerich_forging-the-sword-nibelung-1941,fear
umberto-boccioni_the-drinker-1914,excitement
henri-de-toulouse-lautrec_academic-study-nude,amusement
sam-francis_all-red-1964,disgust
mikalojus-ciurlionis_rex-i-1904,contentment
vladimir-borovikovsky_varvara-andreyevna-tomilova,contentment
hercules-seghers_mountain-valley,contentment
ilya-mashkov_a-flower-in-a-pot-and-strawberries-1938,contentment
nicholas-roerich_archangel-with-birds-1905,excitement
claude-monet_basket-of-graphes-quinces-and-pears-1885,contentment
esteban-vicente_still-life-with-le-crapouillot-1925,contentment
wifredo-lam_madame-lumumba-1938,sadness
nicholas-roerich_human-ancestors-1913,fear
sam-francis_untitled-sf-84-045-1984,amusement
childe-hassam_street-scene-with-hansom-cab,awe
salvador-dali_the-dalinian-senyera-catalonian-national-flag,anger
nicholas-roerich_boundary-of-kingdoms-1915,awe
willem-de-kooning_painting,fear
koloman-moser_design-for-the-anniversary-stamp-with-austrian-emperor-franz-joseph-1908,amusement
gustave-moreau_portrait-of-eugene-lacheur-1852,contentment
henri-fantin-latour_chrysanthemums-1871,awe
nicholas-roerich_malong-1912,awe
claude-monet_boats-lying-at-low-tide-at-facamp,disgust
camille-pissarro_washerwoman-study-also-known-as-la-mere-larcheveque-1880,sadness
william-scott_poem-for-a-jug-no-4-1980,contentment
george-frederick-watts_ellen-terry-at-the-piano(1),amusement
robert-goodnough_abstract-2-1982,excitement
gustave-dore_the-slothful,sadness
gustave-dore_don-quixote-111,fear
nicholas-roerich_great-wall-of-china,awe
salvador-dali_the-first-day-of-spring-1923,awe
gustave-dore_don-quixote-74,fear
vladimir-tatlin_sketch-for-stage-set-glinka-s-king-life,disgust
ronnie-landfield_untitled-1969,excitement
homer-watson_old-mill-and-stream-1879,contentment
nicholas-roerich_himalayas-1942-1,awe
nicholas-roerich_karelian-landscape-1918,disgust
koloman-moser_flower-pot-and-ceramic-jug-1912,contentment
fyodor-vasilyev_the-sea-with-ships-1873,contentment
william-h.-johnson_anna-mae-1944,sadness
gustave-dore_orlando-furioso-7,fear
childe-hassam_the-hovel-and-the-skyscraper,contentment
camille-pissarro_the-pont-royal-grey-weather-afternoon-spring-1902,contentment
konstantinos-parthenis_vuew-of-kavala-1904,amusement
sam-francis_untitled-1968,anger
kay-nielsen_the-tinder-box,amusement
nicholas-roerich_boyan-1910,amusement
mikalojus-ciurlionis_andante-sonata-of-the-sea-1908(1),awe
romare-bearden_battle-with-cicones-1977,fear
fyodor-bronnikov_the-garden-arbor-1880,sadness
martiros-saryan_view-of-bjini-fortress-armenia-1923,awe
ion-tuculescu_looks,excitement
george-frederick-watts_alpine-landscape(1),contentment
gustave-courbet_the-rest-during-the-harvest-season-mountains-of-the-doubs-1867,contentment
henri-fantin-latour_flowers-roses-1883,contentment
richard-tuttle_20-pearls-5-2003,contentment
walasse-ting_blue-cat-1981,excitement
lovis-corinth_flowers-and-wilhelmine-1920,fear
maurice-prendergast_central-park-1900,excitement
jules-cheret_yvette-guilbert-1891,disgust
nicholas-roerich_himalayas-24,contentment
judith-leyster_flowers-in-a-vase-1654,sadness
gustave-dore_arachne,awe
nicholas-roerich_eclipse-1939,contentment
willem-de-kooning_woman-3,disgust
sam-francis_sketch-1960,disgust
gustave-dore_the-inferno-canto-22,fear
mikhail-vrubel_playing-naiads-and-tritons,fear
sam-francis_untitled-from-pasadena-box-1963,disgust
camille-pissarro_the-louvre-winter-sunlight-morning-2nd-version-1901,contentment
nicholas-roerich_ladakh-1937,excitement
jan-steen_merry-company-on-a-terrace-1675,amusement
ion-tuculescu_the-secret-of-the-peacocks,disgust
max-slevogt_danae,sadness
martiros-saryan_persian-house-1913,contentment
niko-pirosmani_hunter-1907,fear
jan-sluyters_girl-at-a-red-sofa,contentment
istvan-farkas_the-lunatic-at-syracuse-1930,fear
childe-hassam_a-venetian-regatta,contentment
otto-gustav-carlsund_dresdens-spektrum-spader-ess-1922,sadness
vicente-manansala_community,awe
richard-tuttle_waferboard-4-1996,excitement
georges-braque_still-life-with-lobster-1948,amusement
childe-hassam_union-square,contentment
judith-leyster_girl-with-a-lute-1631,amusement
childe-hassam_autumn-hilltop-new-england-1906,awe
william-h.-johnson_off-to-war-1942(1),awe
maurice-denis_reflection-in-a-fountain,contentment
pablo-picasso_bust-of-woman-1907,disgust
georgios-jakobides_peek-a-boo,amusement
willem-de-kooning_two-figures,contentment
leon-bakst_helene-de-sparte-act-ii-set-design-1912,fear
romare-bearden_untitled-1959-2,anger
sam-francis_composition-blue-balls-1990,amusement
nicholas-roerich_pechora-vestry-1903,contentment
horia-bernea_the-column-ii,awe
nicholas-roerich_hermitage-at-the-lake-1912,contentment
peter-paul-rubens_descent-from-the-cross-1618,sadness
marsden-hartley_mont-sainte-victoire-1927,disgust
frantisek-kupka_bathers-1906,contentment
konstantin-somov_open-door-on-a-garden,awe
karl-schrag_autumn-wind-and-stars-1988,awe
nicholas-roerich_cooker-1912,amusement
efim-volkov_the-sea,contentment
maurice-prendergast_landscape-with-figures,disgust
theo-van-doesburg_composition-i-still-life-1916,amusement
sam-francis_untitled-sfp85-3-1985,anger
pablo-picasso_las-meninas-velazquez,fear
henryk-siemiradzki_not-detected-278800,contentment
jan-siberechts_an-extensive-river-landscape-probably-derbyshire-with-drovers-and-their-cattle-in-the-1698,contentment
hans-hofmann_untitled-1928,contentment
salvador-dali_vinea-electa-isaiah-5-6-1967,disgust
wifredo-lam_cubist-face-1939,amusement
childe-hassam_summertime,contentment
gustave-dore_arrival-at-cairo-of-prisoners-of-minich,fear
henri-fantin-latour_apples-1876,sadness
hendrick-cornelisz-vroom_the-departure-of-the-east-indiamen-1630,awe
salvador-dali_still-life-5,contentment
lovis-corinth_still-life-with-chrysanthemums-and-amaryllis-1922,awe
ivan-nikitin_anna-petrovna,excitement
gustave-dore_don-quixote-117,disgust
gustave-courbet_the-wave-1869,fear
salvador-dali_self-portrait-being-duplicated-into-three-1927,fear
johannes-vermeer_the-geographer,contentment
nicholas-roerich_kuan-yin-1933,awe
maurice-prendergast_still-life-with-apples-1915,contentment
willem-de-kooning_white-nude,disgust
sam-gilliam_horse-1995,anger
gustave-dore_dispersion-of-the-syrian-army-by-a-sand-storm,sadness
claude-monet_calm-weather-fecamp,contentment
gustave-dore_samuel-blesses-saul,awe
willem-de-kooning_figure-at-gerard-beach,amusement
nicholas-roerich_a-guy-with-the-horn-1921,amusement
jack-bush_watermelon-on-chair-1952,excitement
pablo-picasso_silenus-dancing-in-company-1933,disgust
efim-volkov_quiet-river,contentment
george-catlin_tul-lock-ch-sh-ko-drinks-the-juice-of-the-stone-in-ball-player-s-dress-choctaw-1834,amusement
childe-hassam_east-hampton-1,awe
jacek-malczewski_self-portrait-with-death,anger
judith-leyster_portrait-of-a-man,sadness
childe-hassam_gateway-at-canterbury,contentment
stuart-davis_steeple-and-street-1922,disgust
gustave-dore_discovery-of-the-true-cross-1877,disgust
richard-pousette-dart_circle-by-the-falling-waters-1980,contentment
george-bouzianis_woman-looking-over-her-shoulder,disgust
childe-hassam_morning-light,contentment
koloman-moser_figure-study-to-mermaid-1914,disgust
sam-francis_blue-balls-vii-1962,amusement
jacob-jordaens_self-portrait,awe
stuart-davis_blips-and-ifs-1964,excitement
fred-williams_boab-trees-kimberley-s-1981,fear
leon-bakst_indo-persian-dance-1912,excitement
maurice-prendergast_sienna-column-of-the-wolf,contentment
nicholas-roerich_lake-village-1915,contentment
rufino-tamayo_the-woman-with-red-mask-1940,fear
childe-hassam_the-bricklayers,sadness
niko-pirosmani_threshing-the-floor-in-a-georgian-country-village-1915,contentment
gustave-dore_geraint-and-enid-ride-away,awe
vajda-lajos_houses-at-szentendre-with-crucifix-1937,contentment
mikhail-vrubel_kudma-the-sorcerer-costume-design-for-the-opera-the-enchantress-1900,sadness
theodoros-stamos_infinity-field-lefkada-series-1980(2),contentment
childe-hassam_portland-harbor,disgust
childe-hassam_mixed-foursome,contentment
henri-matisse_still-life-with-sleeper-1940,awe
henry-raeburn_portrait-of-the-reverend-robert-walker-skating,amusement
koloman-moser_kolo-moser-1903,awe
sam-francis_hail-hailey-1986,contentment
nicholas-roerich_battle-1906-1,anger
george-bouzianis_kefali-andra-1915,disgust
le-nain-brothers_the-artist-s-studio,contentment
jacob-jordaens_holy-family-with-elizabeth-and-child-john-the-baptist-1615,awe
ion-tuculescu_charming-sea,disgust
mikalojus-ciurlionis_forest-1906,fear
maurice-prendergast_the-west-church-also-known-as-fountain-at-the-west-church-boston,excitement
ramon-oviedo_hombre-toro-leon-de-oro,fear
roger-bissiã¨re_composition-avec-mandoline-1925,amusement
jacob-jordaens_the-return-from-egypt-of-the-holy-family-1616,awe
jury-annenkov_costume-design-for-an-officer-with-a-gun,amusement
frantisek-kupka_tango-1909,awe
william-scott_white-sand-and-ochre-1961,disgust
william-hogarth_times-of-the-day-evening,amusement
fyodor-solntsev_mobleman-clothing-of-the-xvii-century-morning-silk-kaftan,contentment
mstislav-dobuzhinsky_a-doll-1905,sadness
sam-francis_untitled-sfp88-12-1988,disgust
mstislav-dobuzhinsky_glassmakers-street-in-vilno,contentment
gustave-courbet_the-winnowers-1855(1),amusement
frank-auerbach_j-y-m-seated-no-1,fear
gustave-dore_the-inferno-canto-24,fear
jacek-malczewski_bacchante-portrait-of-maria-bal,contentment
henri-matisse_spanish-still-life-seville-ii-1911,amusement
leon-bakst_costume-for-nijinsky-1910,amusement
nicholas-roerich_and-we-are-opening-the-gates-1924,contentment
jacob-jordaens_martyrdom-of-st-quentin,fear
george-stubbs_lion-attacking-a-horse,sadness
georges-braque_still-life-with-guitar-1935,disgust
mikhail-vrubel_orchid,awe
peter-paul-rubens_castle-garden,contentment
camille-pissarro_the-pilot-s-jetty-le-havre-1903,excitement
robert-goodnough_soaring-ii-1994,contentment
gustave-courbet_the-bathers-1853,contentment
gustave-dore_heaven-rung-with-jubilee-and-loud-hosannas-filled-the-eternal-regions,contentment
konstantin-somov_summer-morning,awe
jose-de-almada-negreiros_revista-contempor-nea-1922,disgust
raoul-dufy_casino-of-nice-1927,excitement
mikalojus-ciurlionis_journey-of-the-prince-i-1907,awe
j.-e.-h.-macdonald_the-tangled-garden-1916,contentment
william-baziotes_congo-1954,excitement
kay-nielsen_two-brothers,excitement
guido-reni_mary-magadalen,contentment
irma-stern_portrait-of-an-indian-woman-1936,sadness
joseph-wright_dressing-the-kitten,awe
maurice-denis_forentice-landscape-viale-dei-colli,contentment
ilya-mashkov_urban-winter-landscape-1914,awe
pablo-picasso_head-of-a-girl-1950,anger
gustave-dore_jesus,fear
gheorghe-tattarescu_sailor,fear
nicholas-roerich_corridors-of-the-castle-dungeons-1913,awe
nicholas-roerich_entourage-1912,fear
theo-van-doesburg_composition-the-cow-7,anger
niko-pirosmani_vintage,contentment
william-baziotes_water-forms-1961,amusement
henryk-siemiradzki_unfinished-self-portrait,contentment
gustave-dore_don-quixote-53,sadness
konstantin-somov_old-and-new-year-cover-table-calendar-for-1905,fear
nicholas-roerich_he-who-hastens-1924,awe
jacob-jordaens_suffer-the-little-children-1655,excitement
ronnie-landfield_for-sara-teasdale-1992,contentment
niko-pirosmani_still-life-1,contentment
mikhail-vrubel_lilacs-1900,anger
niko-pirosmani_giorgi-saakadze-1913,awe
william-hogarth_the-importance-of-knowing-perspective-absurd-perspectives,contentment
leon-bakst_the-supper-1902,amusement
nicholas-roerich_girls-1944,amusement
sam-francis_untitled-1975-1,fear
maurice-denis_triple-portrait-of-marthe,sadness
claude-monet_cliff-near-dieppe-overcast-skies,contentment
henri-matisse_the-bed-in-the-mirror,contentment
camille-pissarro_the-snack-child-and-young-peasant-at-rest-1882,contentment
carl-larsson_in-the-kitchen-garden-1883(1),contentment
giovanni-boldini_mademoiselle-de-nemidoff,awe
giovanni-boldini_portrait-of-the-countess-zichy-1905,awe
george-stubbs_self-portrait,disgust
fyodor-vasilyev_barges-near-the-bank,awe
mikhail-nesterov_a-fresco-by-m-nesterov-from-akhali-zarzma-monastery-abastumani-georgia,awe
niko-pirosmani_tunguska-river-emut,disgust
william-hogarth_gerard-anne-edwards-in-his-cradle-1733,fear
george-frederick-watts_girl-with-peacock(1),contentment
gustave-courbet_portrait-of-paul-verlaine,sadness
childe-hassam_sailing-ship-locked-in-ice,awe
gustave-courbet_riverside,contentment
franz-marc_wild-pigs-boar-and-sow-1913,fear
maurice-prendergast_central-park-1,awe
nicholas-roerich_daning-horovod-1903,contentment
pavel-filonov_a-small-house-in-moscow-1894,contentment
le-pho_composition-1,contentment
istvan-farkas_fate-walking-at-the-water-tower-1934,contentment
jacob-jordaens_the-peasants-and-the-satyr,amusement
camille-pissarro_vegetable-garden-at-hermitage-near-pontoise-1879,contentment
georgios-jakobides_first-steps-1892,contentment
gustave-dore_don-quixote-67,excitement
henri-fantin-latour_a-basket-of-roses-1890,contentment
henri-matisse_odalisque,contentment
childe-hassam_piazza-di-spagna-rome,contentment
terry-frost_it-is-true-1989,contentment
mario-zanini_barco-com-marinheiros-1950,excitement
mikalojus-ciurlionis_sunset-1904,contentment
childe-hassam_woman-cutting-roses-in-a-garden-1889,contentment
henri-matisse_odalisque-in-red-trousers-1921,contentment
camille-pissarro_the-louveciennes-road-1870,contentment
childe-hassam_a-street-in-denia-spain,contentment
camille-pissarro_vase-of-flowers-tulips-and-garnets-1900,contentment
kuzma-petrov-vodkin_biribi-1907,sadness
nicholas-roerich_captive-1943,contentment
mikhail-nesterov_pond-1906,contentment
henri-matisse_game-of-bowls-1908,disgust
childe-hassam_the-south-ledges-appledore,awe
martiros-saryan_ararat-from-dvin-1952,contentment
giovanni-boldini_the-head-of-a-horse,sadness
jozsef-rippl-ronai_my-grandmother-1894,sadness
gustave-dore_jesus-blessing-the-children-1866,contentment
george-catlin_osage-warrior-of-the-wha-sha-she-band-a-subdivision-of-hunkah-1834,awe
henri-fantin-latour_a-bowl-of-fruit-1870,contentment
gustave-courbet_the-stream,fear
fyodor-vasilyev_cumulus-study,contentment
william-hogarth_falstaff-examining-his-recruits-1728,anger
lawren-harris_lake-superior-1928,contentment
gustave-dore_don-quixote-35,sadness
fyodor-vasilyev_volga-lagoon,fear
gerard-sekoto_the-wine-drinker-1945,amusement
j.-e.-h.-macdonald_early-morning-rocky-mountains,contentment
iosif-iser_woman-from-muscel-1935,contentment
claude-monet_cliff-at-dieppe,contentment
willem-de-kooning_untitled-4,disgust
camille-pissarro_the-louvre-march-mist-1903,contentment
eugene-boudin_white-clouds-blue-sky,awe
gustave-courbet_the-trout-1872,sadness
childe-hassam_harney-desert-02,contentment
le-nain-brothers_small-card-players-1,awe
willem-de-kooning_women-singing-ii,amusement
william-hogarth_portrait-of-dr-benjamin-hoadly,amusement
childe-hassam_a-long-island-garden,excitement
george-catlin_h-l-te-m-l-te-t-z-te-n-ek-ee-sam-perryman-creek-chief-1834,contentment
gustave-dore_the-miraculous-draught-of-fishes,awe
willem-de-kooning_woman-verso-untitled,fear
jacques-villon_the-game-of-backgammon-1903,sadness
nicholas-roerich_dogra-yumtso-1932,awe
nicholas-roerich_intercession-of-the-theotokos-1903,contentment
mikalojus-ciurlionis_night-1905,fear
henri-fantin-latour_peaches-1903,contentment
koloman-moser_draft-for-wall-decoration-in-the-living-room-of-the-apartment-in-berlin-stonborough-1904,contentment
gian-lorenzo-bernini_equestrian-statue-of-king-louis-xiv-1670(3),excitement
jose-de-almada-negreiros_a-s-tira-1911,amusement
childe-hassam_lower-manhattan-aka-broad-and-wall-streets,contentment
nicholas-roerich_issa-and-giant-s-head-1932-3,excitement
niko-pirosmani_roe-deer-at-a-spring,awe
childe-hassam_new-york-winter-window-1919,sadness
joseph-wright_study-of-the-terrain-near-vesuvius,awe
camille-pissarro_the-fair-dieppe-sunny-afternoon-1901,excitement
jacoba-van-heemskerck_in-the-garden-1909,contentment
henri-michaux_composition-aux-trois-t-tes,fear
claude-monet_chrysanthemums-1897-1,contentment
gustave-dore_the-grasshopper-and-the-ant,contentment
maurice-prendergast_can-can-dancer,fear
nicholas-roerich_himalayas-1938-5,awe
koloman-moser_church-am-steinhof-drawing-of-western-window,contentment
gian-lorenzo-bernini_saint-jerome-1663(1),awe
willi-baumeister_hockey-1924,excitement
henri-fantin-latour_narcisses-in-an-opaline-glass-vase-1875,contentment
ernst-ludwig-kirchner_three-women,amusement
camille-pissarro_the-siesta-1899,contentment
william-congdon_positano-no-6-night-1956,fear
camille-pissarro_sunset-at-eragny,contentment
jacek-malczewski_self-portrait-with-the-muses,awe
ivan-bilibin_postcard-happy-easter-1900,contentment
walasse-ting_morning-series-1974,excitement
george-mavroides_memory-of-manet-1984,sadness
nicholas-roerich_caucasus-arc-mountain-1913,contentment
karl-schrag_tree-bending-to-water,contentment
george-mavroides_he-strange-light-1984,contentment
ernst-ludwig-kirchner_blue-dressed-artists,anger
niko-pirosmani_wedding-in-kakheti-1916,excitement
gustave-dore_the-queen-of-heaven,disgust
salvador-dali_planctus-david-in-mortem-saul-1967,disgust
hercules-seghers_two-trees-1625,contentment
childe-hassam_isle-of-shoals-1,contentment
mario-nuzzi_spring-1660,contentment
helene-schjerfbeck_nurse-i-kaija-lahtinen-1943,amusement
nicholas-roerich_himalayas-1941-2,sadness
gustave-dore_don-quixote-149,sadness
ion-tuculescu_blue-totem,amusement
jacek-malczewski_spring,contentment
childe-hassam_spring-aka-the-artist-s-sister,contentment
niko-pirosmani_vintage-fragment-picture,contentment
mikhail-vrubel_the-flying-demon-1899,sadness
childe-hassam_church-procession-spanish-steps,awe
fyodor-vasilyev_water-mill-on-a-mountain-river-crimea,sadness
robert-goodnough_9th-street-1978,anger
ion-tuculescu_red-eggs-1943,contentment
nicholas-roerich_glaciers-of-lahaul-1936,contentment
ferdinand-hodler_the-aarekanal-near-thun-1879,contentment
mikalojus-ciurlionis_creation-of-the-world-viii-1906,excitement
yiannis-tsaroychis_study-for-a-wall-hanging-with-a-theme-from-elytis-s-poem-axion-esti-1965,excitement
paul-bril_a-wooded-landscape-with-a-bridge-and-sportsmen-at-the-edge-of-the-river-1590,sadness
fyodor-solntsev_polish-coat-of-peter-the-great,contentment
ion-theodorescu-sion_femeie-n-parc-1919,contentment
konstantin-somov_summer-1,amusement
gustave-dore_peter-the-hermit-preaching-the-crusade,fear
nicholas-roerich_lahaul-kardang-1932,awe
leon-bakst_le-dieu-bleu-the-bride-1912,awe
jacob-jordaens_study-of-little-child-1626,sadness
jan-siberechts_the-ford-1672,contentment
salvador-dali_filiae-herodiadis-saltatio-matthew-14-6-1964,awe
hendrick-cornelisz-vroom_ferry-boat-on-a-river-trees-on-a-hill-to-the-left,contentment
guido-reni_cleopatra-1640,disgust
raoul-dufy_birdcage-1914,awe
jan-steen_smoker,disgust
jacek-malczewski_my-song,amusement
max-slevogt_the-dancer-marietta-di-rigardo-1,excitement
taro-yamamoto_untitled-1970,awe
ernst-ludwig-kirchner_two-heads-looking-at-each-other,sadness
le-nain-brothers_the-well,sadness
nicholas-roerich_egypt-1939-1,awe
gustave-dore_idylls-of-the-king-7,fear
sam-francis_blue-and-red-1953,disgust
robert-nickle_untitled-enclosed-1978,disgust
jacob-isaakszoon-van-ruisdael_view-of-naarden-1647,awe
sam-francis_untitled-1990-6,amusement
martiros-saryan_bouquet-of-flowers-1945,contentment
